index,instance,numcons,conseed,blipseed,score,timestamp,num_constraints,num_satisfied
625,andes,50,3,1,-539043.774,final,250,151
626,munin1,10,2,2,-273865.463,60,50,50
627,win95pts,25,1,1,-71179.283,30,125,72
628,munin1,10,2,3,-276593.706,60,50,49
629,barley,10,3,2,-335719.194,final,50,31
630,water,10,1,1,-74556.843,30,50,29
631,barley,5,1,2,-324062.949,60,25,25
632,diabetes,50,3,1,-2632445.87,30,250,189
633,alarm,10,1,1,-66943.431,30,50,41
634,andes,50,2,2,-545803.465,30,250,148
635,win95pts,50,1,2,-85100.794,60,250,124
636,win95pts,25,2,2,-76122.957,30,125,78
637,diabetes,10,2,2,-2380777.156,30,50,41
638,diabetes,25,2,3,-2477834.703,60,125,104
639,cancer,5,2,3,-10582.736,60,5,4
640,hepar2,50,3,3,-171083.448,60,230,122
641,cancer,10,2,2,-10582.736,30,5,4
642,munin4,75,1,3,-1129006.699,30,375,344
643,pathfinder,50,1,2,-258424.979,30,250,143
644,munin3,75,2,2,-983741.779,final,375,317
645,diabetes,50,1,1,-2622269.175,30,250,186
646,pigs,75,1,3,-1969934.784,final,375,305
647,win95pts,25,1,3,-71143.762,final,125,72
648,barley,10,3,1,-335919.052,30,50,31
649,munin2,50,3,3,-958605.433,30,250,230
650,win95pts,25,2,3,-76320.244,30,125,78
651,andes,10,2,3,-513336.607,60,50,41
652,alarm,10,2,2,-67505.27,30,50,41
653,link,25,3,1,-1671527.425,60,125,107
654,pigs,25,1,1,-1904156.525,60,125,125
655,munin4,25,3,1,-1072012.735,30,125,120
656,barley,10,2,1,-333183.118,30,50,36
657,munin3,75,1,3,-984704.033,30,375,319
658,diabetes,50,3,3,-2663317.179,30,250,190
659,diabetes,25,2,2,-2457854.823,final,125,105
660,asia,5,1,2,-11548.251,60,15,15
661,link,25,1,1,-1682729.449,30,125,104
662,munin1,50,3,2,-346781.92,final,250,171
663,barley,10,1,2,-334809.504,30,50,33
664,munin1,50,1,3,-373365.512,60,250,162
665,alarm,5,3,2,-57218.048,60,25,23
666,diabetes,10,3,2,-2335859.406,60,50,46
667,diabetes,50,1,3,-2625871.175,30,250,193
668,diabetes,50,2,3,-2586477.04,60,250,192
669,link,50,1,1,-1697645.909,30,250,208
670,hailfinder,25,3,2,-289834.072,final,125,82
671,diabetes,50,2,3,-2586477.04,final,250,192
672,munin1,50,3,3,-354261.409,60,250,171
673,link,50,2,2,-1689287.362,30,250,213
674,hepar2,10,2,3,-165224.719,60,50,46
675,munin,50,2,1,-1129509.628,30,250,227
676,insurance,10,2,2,-79545.125,30,50,41
677,hailfinder,50,1,3,-300617.339,final,160,89
678,water,10,2,3,-72629.067,final,50,35
679,pigs,75,3,2,-1974019.548,final,375,302
680,hepar2,25,2,3,-168922.278,final,125,82
681,munin3,50,1,1,-964577.771,30,250,218
682,diabetes,50,3,3,-2663317.179,final,250,190
683,survey,10,2,3,-19714.342,30,10,9
684,hailfinder,10,2,3,-268038.217,final,50,38
685,munin1,50,1,1,-369051.561,final,250,162
686,andes,50,1,3,-544154.551,60,250,162
687,andes,25,1,2,-526509.609,30,125,89
688,andes,50,2,1,-544144.891,final,250,147
689,asia,5,2,3,-11548.251,final,15,15
690,pigs,25,1,2,-1900335.226,60,125,125
691,diabetes,10,3,3,-2349864.302,30,50,48
692,andes,50,1,2,-540810.992,60,250,164
693,water,5,3,1,-68970.569,30,25,24
694,water,10,2,1,-72629.067,30,50,35
695,mildew,10,1,3,-281322.676,60,50,33
696,link,25,2,2,-1678894.402,30,125,105
697,asia,10,1,1,-11548.251,final,15,15
698,munin2,50,2,2,-959512.403,60,250,223
699,munin,50,3,2,-1120468.729,60,250,223
700,andes,10,3,1,-512366.328,final,50,42
701,munin1,50,1,1,-369051.561,60,250,162
702,pigs,25,1,1,-1904156.525,final,125,125
703,sachs,10,1,3,-38452.851,30,40,32
704,hepar2,25,2,3,-168922.278,60,125,82
705,cancer,10,2,3,-10582.736,60,5,4
706,andes,25,2,1,-523878.835,60,125,88
707,hepar2,10,1,3,-166660.558,final,50,40
708,pathfinder,25,1,2,-188114.101,final,125,103
709,munin,25,1,2,-1100181.649,60,125,117
710,diabetes,50,3,2,-2651616.691,final,250,188
711,water,10,1,2,-74556.843,60,50,29
712,hepar2,25,1,1,-167889.435,60,125,82
713,hepar2,50,3,2,-171095.96,30,230,121
714,child,5,3,2,-62079.631,final,25,25
715,barley,5,3,2,-314605.608,final,25,21
716,munin4,50,1,1,-1105359.854,final,250,232
717,alarm,5,1,1,-57836.934,30,25,23
718,link,50,3,3,-1691844.996,final,250,205
719,andes,10,1,2,-510280.722,30,50,42
720,survey,10,3,1,-19714.342,30,10,9
721,survey,5,2,3,-19714.342,30,10,9
722,barley,5,3,1,-315631.143,60,25,21
723,water,10,3,1,-71692.372,final,50,30
724,link,25,3,1,-1671527.425,final,125,107
725,diabetes,10,3,1,-2356530.164,60,50,46
726,link,75,2,1,-1715248.122,60,375,304
727,win95pts,50,2,3,-81303.605,final,250,132
728,hailfinder,25,3,1,-288125.328,60,125,80
729,survey,10,2,2,-19714.342,final,10,9
730,asia,10,3,1,-12837.513,30,15,12
731,link,50,3,1,-1699016.013,final,250,203
732,mildew,5,3,3,-275471.744,60,25,18
733,pigs,50,3,2,-1940216.879,final,250,223
734,munin4,75,2,3,-1149437.927,60,375,329
735,hailfinder,50,1,2,-300617.171,final,160,89
736,barley,10,1,3,-333668.175,60,50,33
737,sachs,10,1,2,-38452.851,30,40,32
738,alarm,10,1,1,-66943.431,60,50,41
739,hepar2,25,3,3,-168777.234,final,125,88
740,munin4,75,2,1,-1150323.457,60,375,326
741,pathfinder,10,3,1,-163764.14,30,50,46
742,hepar2,50,2,3,-169844.983,final,230,141
743,hailfinder,50,3,3,-304623.714,60,160,104
744,munin1,25,2,1,-315187.456,60,125,94
745,water,10,2,2,-72629.067,60,50,35
746,barley,10,1,3,-333668.175,final,50,33
747,andes,50,3,1,-540133.223,30,250,146
748,hailfinder,10,2,1,-267658.275,60,50,38
749,pathfinder,25,1,1,-188722.579,60,125,103
750,diabetes,10,1,1,-2330390.863,final,50,44
751,alarm,5,3,2,-57292.165,30,25,23
752,hailfinder,50,2,1,-301056.633,30,160,95
753,munin1,25,2,1,-315187.456,final,125,94
754,survey,5,3,3,-19714.342,final,10,9
755,munin,25,1,2,-1100181.649,final,125,117
756,munin3,50,2,2,-962126.601,60,250,234
757,asia,10,1,2,-11548.251,60,15,15
758,sachs,5,1,3,-38733.51,60,25,19
759,alarm,5,2,2,-60530.775,final,25,23
760,asia,10,2,2,-11548.251,60,15,15
761,sachs,10,2,2,-36512.303,60,40,39
762,munin,25,3,3,-1090952.953,final,125,118
763,pigs,50,2,1,-1938247.0,30,250,224
764,asia,10,2,1,-11548.251,60,15,15
765,pigs,75,1,1,-1974294.238,60,375,301
766,andes,25,3,1,-524705.11,30,125,95
767,child,5,3,2,-62079.631,60,25,25
768,win95pts,25,2,3,-76320.244,final,125,78
769,alarm,10,1,2,-68057.132,30,50,41
770,win95pts,50,1,2,-85100.794,30,250,124
771,munin3,50,3,2,-959018.942,60,250,220
772,water,10,3,2,-71692.372,60,50,30
773,alarm,10,1,1,-66943.431,final,50,41
774,hepar2,25,2,1,-168760.209,60,125,82
775,water,10,3,3,-71692.372,60,50,30
776,insurance,5,2,1,-76143.92,30,25,24
777,diabetes,50,2,3,-2586477.04,30,250,192
778,alarm,10,3,3,-69070.06,30,50,37
779,pigs,25,1,3,-1913778.375,30,125,125
780,asia,10,1,2,-11548.251,30,15,15
781,mildew,5,2,3,-274372.436,final,25,23
782,hailfinder,25,2,1,-307438.962,final,125,74
783,andes,50,1,2,-544465.182,30,250,160
784,alarm,10,1,3,-68106.525,30,50,41
785,asia,10,1,3,-11548.251,30,15,15
786,barley,10,1,1,-334055.342,final,50,33
787,andes,25,1,3,-524847.921,final,125,88
788,diabetes,10,2,3,-2355721.158,60,50,41
789,win95pts,10,3,3,-59556.395,60,50,39
790,link,50,3,3,-1691844.996,60,250,205
791,hailfinder,10,1,2,-278134.651,final,50,39
792,link,25,2,3,-1692293.936,30,125,106
793,barley,5,1,3,-324587.738,30,25,25
794,munin2,25,3,3,-936539.193,30,125,116
795,munin1,25,1,1,-302689.141,final,125,95
796,hepar2,25,2,1,-168760.209,final,125,82
797,andes,25,1,2,-526454.466,final,125,91
798,barley,5,3,3,-314364.648,60,25,21
799,win95pts,10,3,2,-59349.331,30,50,39
800,win95pts,10,3,3,-59556.395,30,50,39
801,munin1,10,1,1,-261338.035,30,50,46
802,munin1,10,3,3,-267354.728,final,50,46
803,hailfinder,50,3,1,-304416.16,60,160,103
804,child,5,3,1,-62079.631,final,25,25
805,link,50,3,1,-1699016.013,30,250,203
806,pathfinder,10,2,1,-167723.347,final,50,47
807,pathfinder,10,3,2,-164174.559,60,50,46
808,munin1,50,3,2,-346781.92,60,250,171
809,pathfinder,25,3,2,-198511.878,final,125,98
810,link,25,1,2,-1683443.606,60,125,111
811,pathfinder,25,3,2,-198511.878,30,125,98
812,diabetes,10,2,1,-2343794.389,final,50,41
813,munin,25,1,1,-1097085.431,30,125,117
814,link,25,1,1,-1682729.449,60,125,104
815,munin3,50,2,3,-967229.071,30,250,233
816,sachs,5,1,1,-38733.51,30,25,19
817,munin1,10,1,2,-264000.859,30,50,46
818,asia,5,2,2,-11548.251,60,15,15
819,munin,75,2,1,-1162506.818,60,375,321
820,pigs,25,3,1,-1915557.555,final,125,122
