index,instance,numcons,conseed,blipseed,score,timestamp,num_constraints,num_satisfied
1053,asia,5,3,3,-12837.513,30,15,12
1054,andes,50,3,1,-539043.774,60,250,151
1055,sachs,10,2,2,-36512.303,final,40,39
1056,andes,50,1,3,-544154.551,final,250,162
1057,pathfinder,25,2,1,-187536.382,60,125,106
1058,andes,25,2,2,-523112.817,60,125,87
1059,munin4,25,3,2,-1070302.258,30,125,118
1060,munin,50,3,2,-1120468.729,final,250,223
1061,insurance,5,2,1,-75957.902,final,25,24
1062,hailfinder,25,3,1,-288125.328,30,125,80
1063,hepar2,10,3,2,-165838.558,30,50,37
1064,hepar2,10,1,1,-166595.259,30,50,40
1065,sachs,10,1,2,-38452.851,60,40,32
1066,munin3,75,2,2,-983741.779,30,375,317
1067,survey,10,3,1,-19714.342,final,10,9
1068,mildew,10,1,3,-281322.676,30,50,33
1069,hepar2,50,3,1,-171080.276,30,230,122
1070,hailfinder,50,1,1,-300617.171,60,160,89
1071,munin3,75,3,3,-994294.061,30,375,335
1072,munin4,75,3,3,-1134855.109,final,375,333
1073,sachs,10,2,2,-36512.303,30,40,39
1074,insurance,10,2,3,-78442.708,60,50,39
1075,andes,25,2,2,-523112.817,final,125,87
1076,asia,5,2,3,-11548.251,60,15,15
1077,pathfinder,50,1,1,-259008.443,60,250,144
1078,munin1,50,1,2,-371796.353,60,250,159
1079,child,5,3,1,-62079.631,60,25,25
1080,barley,10,1,3,-333668.175,30,50,33
1081,pathfinder,25,1,3,-189653.773,30,125,103
1082,link,25,3,2,-1671929.884,60,125,107
1083,munin,50,2,2,-1127642.103,30,250,226
1084,hepar2,50,2,2,-169844.983,30,230,141
1085,pathfinder,50,3,3,-251203.253,final,250,149
1086,munin1,50,1,3,-373365.512,30,250,162
1087,diabetes,10,2,3,-2355721.158,final,50,41
1088,pathfinder,50,3,2,-249914.951,60,250,148
1089,barley,5,3,3,-314364.648,final,25,21
1090,pigs,25,2,2,-1919611.165,final,125,123
1091,barley,10,2,3,-331900.92,30,50,36
1092,mildew,5,1,3,-274044.533,final,25,23
1093,hepar2,50,1,1,-170406.794,final,230,132
1094,munin4,50,1,3,-1109374.514,60,250,232
1095,mildew,10,1,1,-281322.676,60,50,33
1096,pigs,25,2,1,-1916181.5,60,125,123
1097,link,50,2,2,-1689287.362,60,250,213
1098,mildew,10,1,1,-281322.676,final,50,33
1099,pathfinder,10,3,3,-163977.097,30,50,46
1100,munin3,25,3,1,-948926.796,30,125,110
1101,andes,10,2,3,-513336.607,30,50,41
1102,pigs,75,1,3,-1969934.784,30,375,305
1103,diabetes,25,3,2,-2497935.872,final,125,110
1104,win95pts,50,3,2,-83269.821,60,250,128
1105,diabetes,50,3,2,-2651616.691,30,250,188
1106,win95pts,10,3,1,-59458.692,final,50,39
1107,diabetes,25,1,2,-2427838.621,final,125,108
1108,diabetes,10,2,2,-2370463.068,final,50,43
1109,munin4,75,3,3,-1134855.109,60,375,333
1110,munin1,50,2,2,-376775.665,30,250,160
1111,andes,25,3,2,-526885.092,60,125,96
1112,hailfinder,10,1,3,-277636.393,final,50,39
1113,alarm,5,3,3,-57351.794,30,25,23
1114,hailfinder,10,2,2,-268223.066,60,50,38
1115,win95pts,25,1,2,-71136.804,final,125,72
1116,barley,10,3,2,-335719.194,30,50,31
1117,hailfinder,10,3,2,-273984.355,60,50,40
1118,hailfinder,25,3,1,-288125.328,final,125,80
1119,andes,25,2,1,-523878.835,final,125,88
1120,insurance,5,2,2,-76229.885,final,25,24
1121,win95pts,10,2,3,-58048.414,60,50,43
1122,hailfinder,10,3,2,-273984.355,final,50,40
1123,hepar2,10,2,1,-165537.748,60,50,45
1124,pigs,75,1,1,-1974294.238,final,375,301
1125,pigs,75,1,2,-1964297.476,final,375,310
1126,alarm,10,2,3,-67369.791,30,50,41
1127,asia,5,3,1,-12837.513,30,15,12
1128,link,50,1,1,-1697645.909,60,250,208
1129,diabetes,25,2,1,-2476873.0,final,125,104
1130,survey,10,3,2,-19714.342,30,10,9
1131,munin1,25,3,3,-308706.138,60,125,110
1132,survey,10,2,1,-19714.342,30,10,9
1133,diabetes,10,3,1,-2356530.164,final,50,46
1134,barley,5,1,3,-324587.738,60,25,25
1135,win95pts,50,1,3,-85100.794,final,250,125
1136,pathfinder,50,2,1,-249425.747,final,250,154
1137,hailfinder,25,1,1,-282292.346,30,125,87
1138,andes,10,3,2,-508704.546,final,50,43
1139,munin2,50,3,3,-958605.433,60,250,230
1140,link,25,1,1,-1682729.449,final,125,104
1141,diabetes,25,3,1,-2498730.189,final,125,109
1142,andes,10,1,3,-508494.936,30,50,42
1143,pigs,50,3,1,-1935243.645,30,250,228
1144,link,75,3,1,-1725773.743,30,375,292
1145,barley,5,2,3,-314356.036,60,25,23
1146,munin4,25,1,3,-1091938.789,final,125,114
1147,mildew,5,3,1,-275471.744,final,25,18
1148,sachs,10,1,3,-38452.851,60,40,32
1149,andes,10,3,1,-512366.328,30,50,42
1150,water,10,3,3,-71692.372,final,50,30
1151,asia,10,1,2,-11548.251,final,15,15
1152,munin4,75,3,2,-1132654.094,30,375,333
1153,diabetes,25,1,2,-2427838.621,60,125,108
1154,munin2,75,3,1,-975796.804,final,375,332
1155,survey,5,2,3,-19714.342,60,10,9
1156,pigs,50,1,1,-1941627.274,30,250,221
1157,barley,10,2,2,-332766.526,60,50,36
1158,diabetes,10,1,1,-2330390.863,60,50,44
1159,hepar2,50,3,1,-171080.276,60,230,122
1160,link,75,1,3,-1736622.733,30,375,292
1161,barley,10,1,1,-334055.342,60,50,33
1162,pigs,75,1,3,-1969934.784,60,375,305
1163,pathfinder,50,2,3,-249307.357,30,250,152
1164,mildew,5,3,2,-275471.744,60,25,18
1165,andes,10,2,2,-510017.454,30,50,42
1166,diabetes,10,1,2,-2338767.461,60,50,47
1167,win95pts,10,3,1,-59458.692,60,50,39
1168,cancer,5,2,2,-10582.736,60,5,4
1169,link,50,1,2,-1701711.801,60,250,206
1170,diabetes,50,3,3,-2663317.179,60,250,190
1171,sachs,5,1,3,-38733.51,final,25,19
1172,alarm,5,2,2,-60530.775,30,25,23
1173,link,50,2,3,-1691537.864,30,250,205
1174,hepar2,25,2,1,-168760.209,30,125,82
1175,hailfinder,25,3,3,-289325.731,60,125,82
1176,alarm,10,3,2,-68588.114,60,50,36
1177,hailfinder,10,3,2,-273984.355,30,50,40
1178,win95pts,50,2,2,-81303.605,60,250,132
1179,pathfinder,25,3,3,-197571.507,final,125,98
1180,water,5,3,3,-69040.451,30,25,24
1181,water,5,1,3,-69746.929,60,25,22
1182,link,75,3,3,-1730792.657,30,375,292
1183,link,50,3,2,-1700822.734,final,250,202
1184,munin2,50,3,1,-958623.847,60,250,231
1185,water,5,3,3,-68867.272,final,25,24
1186,pigs,75,3,2,-1974019.548,30,375,302
1187,cancer,5,2,3,-10582.736,30,5,4
1188,munin1,50,2,2,-376775.665,60,250,160
1189,pathfinder,50,2,2,-247517.865,30,250,156
1190,munin1,25,2,2,-315678.106,final,125,94
1191,munin4,75,2,3,-1150077.475,30,375,329
1192,asia,5,1,1,-11548.251,60,15,15
1193,asia,10,1,3,-11548.251,final,15,15
1194,barley,5,3,2,-314775.272,30,25,21
1195,mildew,5,1,2,-274057.892,60,25,23
1196,hepar2,10,3,1,-165639.683,60,50,38
1197,munin,75,2,1,-1162506.818,final,375,321
1198,win95pts,10,2,1,-58153.276,60,50,43
1199,munin3,75,3,2,-994968.985,30,375,330
1200,mildew,5,1,1,-274044.533,60,25,23
1201,pathfinder,10,1,3,-172456.009,final,50,48
1202,hailfinder,25,1,3,-282324.654,30,125,87
1203,hailfinder,50,1,1,-300617.171,final,160,89
1204,pigs,75,3,1,-1969420.21,final,375,313
1205,water,5,1,2,-69746.929,30,25,22
1206,munin3,50,3,1,-958872.843,30,250,227
1207,diabetes,10,3,2,-2335859.406,30,50,46
1208,win95pts,10,1,3,-54357.95,30,50,47
1209,munin,50,1,2,-1120976.662,30,250,230
1210,win95pts,10,2,1,-58153.276,final,50,43
1211,asia,5,1,1,-11548.251,30,15,15
1212,munin2,25,3,1,-938369.777,30,125,116
1213,munin,25,3,1,-1093803.439,30,125,118
1214,munin2,75,2,3,-979695.284,30,375,333
1215,munin1,25,1,2,-303289.465,final,125,94
1216,link,75,2,1,-1715248.122,final,375,304
1217,link,25,2,2,-1678894.402,60,125,105
1218,diabetes,10,1,2,-2338767.461,final,50,47
1219,andes,50,1,1,-544500.769,30,250,158
1220,sachs,5,1,2,-38733.51,60,25,19
1221,hepar2,50,2,1,-169845.238,30,230,143
1222,link,50,1,1,-1697645.909,final,250,208
1223,munin3,75,2,1,-982283.534,30,375,311
1224,pigs,25,1,3,-1913737.656,final,125,125
1225,munin2,75,3,3,-975607.148,60,375,333
1226,pathfinder,25,2,2,-187790.853,60,125,106
1227,link,75,1,3,-1736622.733,60,375,292
1228,andes,50,2,3,-544658.324,30,250,146
1229,munin2,50,2,3,-960101.573,60,250,222
1230,barley,5,2,2,-316342.886,60,25,23
1231,hepar2,50,1,3,-170406.794,30,230,132
1232,hepar2,10,1,3,-166660.558,30,50,40
1233,munin3,25,2,1,-940948.898,30,125,117
1234,pathfinder,25,1,1,-188722.579,final,125,103
1235,munin1,50,2,3,-373305.333,30,250,157
1236,mildew,10,3,3,-288651.311,60,50,32
1237,pathfinder,25,2,3,-188380.123,30,125,106
1238,hailfinder,25,2,3,-307438.962,final,125,74
1239,pigs,75,2,1,-1969266.661,final,375,315
1240,pigs,25,1,2,-1900335.226,final,125,125
1241,barley,10,2,3,-331900.92,final,50,36
1242,insurance,5,2,2,-76229.885,60,25,24
1243,andes,50,2,2,-545803.465,final,250,148
1244,pathfinder,10,2,2,-168124.352,final,50,47
1245,munin2,75,2,3,-978602.956,60,375,336
1246,andes,25,3,3,-524918.526,60,125,95
1247,win95pts,25,3,1,-71031.826,30,125,84
1248,munin4,25,2,1,-1074274.375,30,125,117
1249,andes,25,3,2,-526947.334,30,125,94
1250,diabetes,10,3,2,-2335859.406,final,50,46
1251,link,75,1,2,-1734882.269,60,375,295
1252,asia,5,2,1,-11548.251,final,15,15
1253,munin,75,1,2,-1168276.902,30,375,317
1254,sachs,10,2,3,-36512.303,final,40,39
1255,win95pts,10,2,3,-58048.414,30,50,43
1256,munin1,10,2,2,-273865.463,30,50,50
1257,munin3,25,3,2,-948953.782,60,125,110
1258,win95pts,25,3,1,-70715.32,final,125,84
1259,pigs,50,1,2,-1943788.762,30,250,218
1260,andes,10,3,2,-511179.174,30,50,42
1261,andes,25,3,2,-526885.092,final,125,96
1262,win95pts,50,3,2,-83269.821,30,250,128
1263,diabetes,25,3,3,-2471956.619,60,125,110
1264,diabetes,25,2,3,-2477834.703,30,125,104
1265,hailfinder,10,1,1,-277791.546,60,50,39
1266,pigs,50,1,1,-1939594.868,60,250,223
1267,pigs,75,1,2,-1976702.799,30,375,305
