index,instance,numcons,conseed,blipseed,score,ts
1412,andes,10,1,2,-512903.7147,31.4
1413,andes,10,1,2,-511469.9759,38.5
1414,andes,10,1,2,-511222.5385,102.7
1415,andes,10,1,2,-510568.1178,103.0
1416,andes,10,1,2,-510280.7222,292.2
1417,hailfinder,50,3,1,-315004.136,0.2
1418,hailfinder,50,3,1,-312591.0973,0.3
1419,hailfinder,50,3,1,-312487.9317,0.6
1420,hailfinder,50,3,1,-306641.9482,18.6
1421,hailfinder,50,3,1,-305786.1305,427.1
1422,hailfinder,50,3,1,-304416.1604,1412.9
1423,win95pts,10,3,3,-67506.1476,0.3
1424,win95pts,10,3,3,-66447.3875,0.3
1425,win95pts,10,3,3,-65205.1679,1.2
1426,win95pts,10,3,3,-63981.6779,2.7
1427,win95pts,10,3,3,-63412.9169,3.6
1428,win95pts,10,3,3,-61668.7724,16.3
1429,win95pts,10,3,3,-60000.1462,79.8
1430,win95pts,10,3,3,-59663.0997,248.0
1431,win95pts,10,3,3,-59556.3954,939.6
1432,munin2,50,3,3,-960023.1113,1.4
1433,munin2,50,3,3,-958605.4333,297.9
1434,pathfinder,10,3,1,-172111.4932,0.3
1435,pathfinder,10,3,1,-170306.131,0.8
1436,pathfinder,10,3,1,-170030.727,0.9
1437,pathfinder,10,3,1,-166520.811,1.1
1438,pathfinder,10,3,1,-165712.1549,19.1
1439,pathfinder,10,3,1,-165388.0177,72.3
1440,pathfinder,10,3,1,-164704.0184,235.6
1441,pathfinder,10,3,1,-163764.1399,308.5
1442,munin3,75,1,1,-1002778.5094,3.6
1443,water,10,2,3,-73840.0037,0.1
1444,water,10,2,3,-73320.7188,0.1
1445,water,10,2,3,-72790.1717,0.2
1446,water,10,2,3,-72788.3482,0.4
1447,water,10,2,3,-72713.3473,0.4
1448,water,10,2,3,-72672.9289,2.2
1449,water,10,2,3,-72669.4853,7.1
1450,water,10,2,3,-72629.0669,54.2
1451,munin1,25,2,3,-321194.9653,0.3
1452,munin1,25,2,3,-320152.4102,0.5
1453,munin1,25,2,3,-319682.3502,0.7
1454,munin1,25,2,3,-316771.7302,0.9
1455,munin1,25,2,3,-316509.3006,1037.0
1456,munin1,25,2,3,-313265.8266,2060.4
1457,munin1,10,2,3,-281770.7732,0.4
1458,munin1,10,2,3,-281090.6264,0.7
1459,munin1,10,2,3,-276593.7064,3.6
1460,pigs,25,2,3,-1918437.604,1.7
1461,pigs,25,2,3,-1917988.8842,213.8
1462,pigs,25,2,3,-1916796.95,412.6
1463,pigs,25,2,3,-1916112.9427,1774.1
1464,pigs,25,2,3,-1915703.1044,1788.6
1465,pigs,25,2,3,-1913809.9969,2460.3
1466,hepar2,10,1,2,-168472.4369,0.2
1467,hepar2,10,1,2,-168248.377,0.2
1468,hepar2,10,1,2,-167958.3911,0.3
1469,hepar2,10,1,2,-167283.2209,0.4
1470,hepar2,10,1,2,-166957.7431,1.1
1471,hepar2,10,1,2,-166944.0651,5.9
1472,hepar2,10,1,2,-166889.4028,9.1
1473,hepar2,10,1,2,-166709.813,10.4
1474,hepar2,10,1,2,-166605.1254,10.9
1475,andes,25,1,2,-534229.6672,0.8
1476,andes,25,1,2,-529494.2072,1.1
1477,andes,25,1,2,-529363.9542,2.8
1478,andes,25,1,2,-528008.9966,3.2
1479,andes,25,1,2,-526509.6086,101.6
1480,andes,25,1,2,-526454.466,2532.0
1481,andes,25,2,2,-527694.2344,0.7
1482,andes,25,2,2,-525153.4778,0.9
1483,andes,25,2,2,-523970.4278,2.7
1484,andes,25,2,2,-523112.8174,1719.7
1485,link,50,1,3,-1714360.0038,1.8
1486,link,50,1,3,-1710427.6514,11.2
1487,link,50,1,3,-1703226.0043,520.1
1488,link,50,1,3,-1701784.0139,914.6
1489,link,50,1,3,-1696062.1278,2812.8
1490,mildew,10,1,1,-294334.3392,0.1
1491,mildew,10,1,1,-293489.4537,0.2
1492,mildew,10,1,1,-288842.2093,0.3
1493,mildew,10,1,1,-287655.903,0.4
1494,mildew,10,1,1,-285575.2525,0.4
1495,mildew,10,1,1,-285431.6576,0.9
1496,mildew,10,1,1,-285169.6901,3.4
1497,mildew,10,1,1,-282879.0994,4.4
1498,mildew,10,1,1,-281959.5933,22.8
1499,mildew,10,1,1,-281736.7983,31.4
1500,mildew,10,1,1,-281322.6756,137.9
1501,andes,10,3,2,-517393.3829,0.5
1502,andes,10,3,2,-515803.3332,1.3
1503,andes,10,3,2,-514953.4546,1.6
1504,andes,10,3,2,-514315.2523,7.1
1505,andes,10,3,2,-512787.7225,16.7
1506,andes,10,3,2,-512254.823,17.0
1507,andes,10,3,2,-511179.1736,26.6
1508,andes,10,3,2,-508704.5459,2407.1
1509,child,5,3,3,-69303.8674,0.1
1510,child,5,3,3,-68004.7714,0.2
1511,child,5,3,3,-67994.6098,0.3
1512,child,5,3,3,-67988.0782,0.4
1513,child,5,3,3,-66724.8746,0.7
1514,child,5,3,3,-62811.9527,0.9
1515,child,5,3,3,-62197.1415,1.9
1516,child,5,3,3,-62187.3903,27.5
1517,child,5,3,3,-62149.3412,86.0
1518,child,5,3,3,-62110.1999,150.2
1519,child,5,3,3,-62079.631,1756.2
1520,diabetes,50,2,2,-2648011.5814,0.7
1521,diabetes,50,2,2,-2640093.3241,0.9
1522,diabetes,50,2,2,-2623691.6226,1.9
1523,diabetes,50,2,2,-2621478.2091,12.0
1524,diabetes,50,2,2,-2601754.9708,37.0
1525,diabetes,50,2,2,-2597812.9899,825.3
1526,munin3,75,2,1,-993710.2742,2.8
1527,munin,50,1,3,-1133275.2113,1.1
1528,munin,50,1,3,-1130982.49,394.0
1529,munin,50,1,3,-1124149.6597,404.0
1530,pigs,50,2,3,-1950042.4568,1.6
1531,pigs,50,2,3,-1936156.2861,48.9
1532,link,50,3,3,-1714192.4158,1.1
1533,link,50,3,3,-1706563.9374,4.8
1534,link,50,3,3,-1698717.6047,27.1
1535,link,50,3,3,-1691844.9965,946.9
1536,earthquake,10,3,2,-2478.6105,0.1
1537,barley,10,2,3,-348837.0923,0.1
1538,barley,10,2,3,-348559.48,0.2
1539,barley,10,2,3,-342281.6792,0.2
1540,barley,10,2,3,-339690.5011,0.2
1541,barley,10,2,3,-336747.5644,18.2
1542,barley,10,2,3,-335686.94,256.4
1543,barley,10,2,3,-334772.3143,402.3
1544,barley,10,2,3,-332908.1708,442.6
1545,barley,10,2,3,-331900.9202,1368.5
1546,diabetes,10,2,3,-2387914.1698,0.5
1547,diabetes,10,2,3,-2355721.1582,1.8
1548,link,50,2,1,-1697843.0635,2.1
1549,link,50,2,1,-1696586.8526,5.0
1550,link,50,2,1,-1693462.2936,1525.8
1551,link,50,2,1,-1674152.0198,2847.1
1552,mildew,10,2,2,-287265.743,0.1
