index,instance,conseed,numcons,blipseed,score,num_constraints,num_satisfied
126,child,1,5,3,-62059.504,25,23
127,child,2,10,3,-62059.504,50,46
128,child,2,5,3,-62059.504,25,23
129,mildew,2,5,1,-262706.383,25,18
130,mildew,2,10,1,-262706.383,50,36
131,mildew,1,10,1,-262706.383,50,35
132,mildew,1,5,1,-262706.383,25,19
133,mildew,3,5,1,-262706.383,25,17
134,mildew,3,10,1,-262706.383,50,33
135,munin1,3,50,2,-246579.299,250,131
136,munin1,2,25,2,-246579.299,125,70
137,munin1,1,25,2,-246579.299,125,69
138,munin1,2,10,2,-246579.299,50,25
139,munin1,3,25,2,-246579.299,125,64
140,munin1,2,50,2,-246579.299,250,131
141,munin1,1,10,2,-246579.299,50,29
142,munin1,3,10,2,-246579.299,50,28
143,munin1,1,50,2,-246579.299,250,138
144,munin3,3,25,2,-929840.722,125,72
145,munin3,3,50,2,-929840.722,250,144
146,munin3,2,75,2,-929840.722,375,215
147,munin3,1,50,2,-929840.722,250,142
148,munin3,2,50,2,-929840.722,250,144
149,munin3,1,25,2,-929840.722,125,69
150,munin3,2,25,2,-929840.722,125,74
151,munin3,1,75,2,-929840.722,375,214
152,munin3,3,75,2,-929840.722,375,219
153,mildew,2,5,2,-262746.268,25,15
154,mildew,2,10,2,-262746.268,50,32
155,mildew,1,10,2,-262746.268,50,34
156,mildew,1,5,2,-262746.268,25,17
157,mildew,3,5,2,-262746.268,25,16
158,mildew,3,10,2,-262746.268,50,30
159,mildew,2,5,3,-262694.421,25,19
160,mildew,2,10,3,-262694.421,50,37
161,mildew,1,10,3,-262694.421,50,35
162,mildew,1,5,3,-262694.421,25,18
163,mildew,3,5,3,-262694.421,25,16
164,mildew,3,10,3,-262694.421,50,33
165,munin1,3,50,3,-247006.54,250,140
166,munin1,2,25,3,-247006.54,125,70
167,munin1,1,25,3,-247006.54,125,71
168,munin1,2,10,3,-247006.54,50,30
169,munin1,3,25,3,-247006.54,125,71
170,munin1,2,50,3,-247006.54,250,135
171,munin1,1,10,3,-247006.54,50,28
172,munin1,3,10,3,-247006.54,50,30
173,munin1,1,50,3,-247006.54,250,144
